Lineage,SNP
BL,2044
BL,1332
BL,1305
BL,1244
BL,1301
BL,1287
BL,1195
BL,1291
BL,1808
BL,1333
BL,1264
BL,1296
BL,1798
BL,1348
BL,1787
BL,1268
BL,1279
BL,1335
BL,2031
BL,1186
BL,1278
BL,754
BL,1322
BL,653
BL,1267
BL,689
BL,673
BL,771
BL,649
BL,1278
BL,727
BL,668
BL,796
BL,807
BL,699
BL,598
BL,740
BL,794
BL,1644
BL,641
BL,684
BL,1288
BL,667
BL,1298
BL,724
BL,678
BL,1287
BL,703
BL,1228
BL,706
BL,782
BL,701
BL,755
BL,680
BL,711
BL,794
BL,788
BL,1277
BL,941
BL,769
BL,745
BL,687
BL,573
BL,730
BL,712
BL,797
BL,781
BL,719
BL,685
BL,787
BL,774
BL,1270
BL,1253
BL,640
BL,779
BL,683
BL,724
BL,690
BL,747
BL,745
BL,679
BL,822
BL,732
BL,667
BL,1290
BL,1047
BL,661
BL,703
BL,1325
BL,670
BL,594
BL,702
BL,1946
BL,682
BL,687
BL,741
BL,1277
BL,1662
BL,705
BL,686
BL,690
BL,691
BL,1238
BL,1284
BL,676
BL,733
BL,708
BL,1221
BL,768
BL,757
BL,728
BL,738
BL,805
BL,702
BL,744
BL,747
BL,811
BL,1602
BL,788
BL,663
BL,803
BL,697
BL,726
BL,746
BL,698
BL,787
BL,729
BL,1909
BL,695
BL,1258
BL,1651
BL,1266
BL,1641
BL,1257
BL,750
BL,695
BL,769
BL,731
BL,1257
BL,1949
BL,659
BL,1277
BL,765
BL,705
BL,711
BL,766
BL,735
BL,755
BL,1586
BL,753
BL,1559
BL,1256
BL,725
BL,706
BL,651
BL,678
BL,678
BL,650
BL,735
BL,1267
BL,681
BL,711
BL,742
BL,658
BL,710
BL,748
BL,671
BL,696
BL,738
BL,757
BL,768
BL,785
BL,744
BL,698
BL,672
BL,1245
BL,655
BL,669
BL,673
BL,786
BL,678
BL,723
BL,785
BL,637
BL,644
BL,1925
BL,779
BL,1280
BL,1291
BL,1276
BL,1264
BL,648
BL,773
BL,1282
BL,1270
BL,755
BL,735
BL,655
BL,644
BL,741
BL,1902
BL,1931
BL,1286
BL,778
BL,728
BL,780
BL,726
BL,716
BL,1937
BL,1271
BL,686
BL,736
BL,699
BL,1298
BL,757
BL,1282
BL,779
BL,1253
BL,693
BL,1871
BL,734
BL,743
BL,718
BL,700
BL,710
BL,850
BL,1370
BL,659
BL,1333
BL,689
BL,715
BL,740
BL,800
BL,641
BL,722
BL,1334
BL,787
BL,731
BL,842
BL,782
BL,869
BL,780
BL,711
BL,759
BL,813
BL,848
BL,1708
BL,712
BL,803
BL,1330
BL,684
BL,742
BL,1348
BL,753
BL,684
BL,1329
BL,1301
BL,763
BL,854
BL,723
BL,840
BL,840
BL,779
BL,755
BL,1326
BL,849
BL,814
BL,677
BL,733
BL,840
BL,732
BL,871
BL,765
BL,822
BL,792
BL,735
BL,782
BL,837
BL,778
BL,1316
BL,1308
BL,717
BL,765
BL,700
BL,822
BL,800
BL,809
BL,779
BL,808
BL,745
BL,772
BL,761
BL,730
BL,752
BL,1335
BL,1121
BL,740
BL,786
BL,648
BL,1366
BL,734
BL,743
BL,732
BL,786
BL,744
BL,1923
BL,754
BL,816
BL,1354
BL,729
BL,1698
BL,692
BL,710
BL,768
BL,1305
BL,728
BL,1316
BL,737
BL,684
BL,807
BL,1269
BL,837
BL,747
BL,783
BL,740
BL,665
BL,771
BL,787
BL,1635
BL,826
BL,779
BL,785
BL,770
BL,740
BL,849
BL,755
BL,795
BL,780
BL,839
BL,757
BL,760
BL,692
BL,1895
BL,672
BL,803
BL,747
BL,775
BL,1322
BL,772
BL,1686
BL,733
BL,739
BL,1313
BL,740
BL,1683
BL,1315
BL,695
BL,853
BL,792
BL,700
BL,1300
BL,1931
BL,685
BL,1313
BL,805
BL,773
BL,700
BL,760
BL,762
BL,748
BL,738
BL,1673
BL,803
BL,1625
BL,832
BL,1324
BL,778
BL,802
BL,673
BL,728
BL,763
BL,686
BL,661
BL,754
BL,670
BL,1318
BL,687
BL,762
BL,736
BL,824
BL,686
BL,800
BL,671
BL,799
BL,697
BL,805
BL,801
BL,796
BL,1353
BL,696
BL,730
BL,700
BL,749
BL,696
BL,838
BL,727
BL,653
BL,721
BL,715
BL,754
BL,755
BL,1898
BL,844
BL,743
BL,1334
BL,1337
BL,1327
BL,1328
BL,651
BL,810
BL,1340
BL,687
BL,741
BL,1313
BL,807
BL,730
BL,774
BL,1887
BL,677
BL,1916
BL,707
BL,1339
BL,787
BL,745
BL,1920
BL,1317
BL,745
BL,748
BL,768
BL,752
BL,784
BL,807
BL,1344
BL,696
BL,782
BL,1328
BL,1302
BL,734
BL,734
BL,1863
BL,792
BL,741
BL,687
BL,664
BL,605
BL,709
BL,1375
BL,1337
BL,673
BL,715
BL,694
BL,689
BL,625
BL,1337
BL,748
BL,504
BL,677
BL,784
BL,644
BL,636
BL,744
BL,797
BL,1709
BL,746
BL,719
BL,1352
BL,733
BL,1379
BL,718
BL,653
BL,1351
BL,687
BL,1307
BL,743
BL,711
BL,793
BL,673
BL,609
BL,693
BL,669
BL,695
BL,714
BL,517
BL,1306
BL,940
BL,778
BL,699
BL,624
BL,808
BL,661
BL,788
BL,734
BL,713
BL,691
BL,780
BL,685
BL,785
BL,1320
BL,1314
BL,693
BL,625
BL,786
BL,748
BL,716
BL,756
BL,745
BL,724
BL,678
BL,720
BL,722
BL,503
BL,832
BL,724
BL,568
BL,512
BL,1343
BL,1100
BL,656
BL,1356
BL,711
BL,708
BL,1947
BL,709
BL,1317
BL,683
BL,1736
BL,667
BL,716
BL,631
BL,690
BL,1279
BL,638
BL,1315
BL,707
BL,732
BL,746
BL,640
BL,1304
BL,766
BL,748
BL,652
BL,757
BL,693
BL,802
BL,703
BL,596
BL,683
BL,715
BL,814
BL,1660
BL,727
BL,697
BL,684
BL,718
BL,627
BL,671
BL,576
BL,583
BL,693
BL,699
BL,680
BL,1909
BL,603
BL,721
BL,749
BL,717
BL,699
BL,1329
BL,728
BL,1694
BL,678
BL,684
BL,1327
BL,707
BL,1672
BL,1328
BL,735
BL,784
BL,638
BL,690
BL,1311
BL,1943
BL,1319
BL,685
BL,721
BL,682
BL,734
BL,652
BL,689
BL,719
BL,781
BL,785
BL,1602
BL,1621
BL,740
BL,1336
BL,744
BL,689
BL,769
BL,650
BL,646
BL,573
BL,657
BL,661
BL,1337
BL,643
BL,758
BL,645
BL,757
BL,665
BL,622
BL,793
BL,477
BL,572
BL,677
BL,605
BL,596
BL,840
BL,760
BL,688
BL,768
BL,677
BL,763
BL,710
BL,1298
BL,503
BL,697
BL,657
BL,661
BL,639
BL,603
BL,748
BL,696
BL,649
BL,1957
BL,675
BL,1333
BL,1334
BL,1314
BL,1322
BL,1341
BL,667
BL,614
BL,1334
BL,675
BL,715
BL,758
BL,1904
BL,699
BL,1939
BL,666
BL,1339
BL,602
BL,633
BL,765
BL,780
BL,724
BL,644
BL,1926
BL,1321
BL,717
BL,736
BL,707
BL,673
BL,657
BL,767
BL,1344
BL,581
BL,624
BL,771
BL,1336
BL,791
BL,1307
BL,507
BL,712
BL,688
BL,1905
BL,715
BL,716
BL,842
BL,1351
BL,645
BL,1313
BL,740
BL,694
BL,820
BL,687
BL,1298
BL,793
BL,781
BL,829
BL,889
BL,766
BL,737
BL,759
BL,842
BL,1656
BL,739
BL,737
BL,1316
BL,701
BL,1322
BL,768
BL,688
BL,1315
BL,737
BL,1269
BL,757
BL,834
BL,731
BL,788
BL,717
BL,751
BL,827
BL,823
BL,1298
BL,972
BL,829
BL,796
BL,704
BL,721
BL,839
BL,720
BL,831
BL,817
BL,805
BL,769
BL,833
BL,788
BL,1292
BL,1310
BL,764
BL,815
BL,759
BL,734
BL,741
BL,828
BL,748
BL,746
BL,837
BL,728
BL,732
BL,1320
BL,1095
BL,724
BL,768
BL,1346
BL,705
BL,756
BL,774
BL,1962
BL,745
BL,780
BL,784
BL,1313
BL,1670
BL,714
BL,693
BL,741
BL,792
BL,1245
BL,1304
BL,733
BL,790
BL,761
BL,1270
BL,804
BL,768
