Group,Lineage,Time,Value
PFO-,Lineage 5,96,0.004612903
PFO-,Lineage 5,144,0.00083871
PFO-,Lineage 5,192,0.0000001
PFO-,Lineage 5,240,0.0000001
PFO-,Lineage 5,288,0.0000001
PFO-,Lineage 5,336,0.0000001
PFO-,Lineage 5,0,100
PFO-,Lineage 5,48,26
PFO-,Lineage 5,96,0.46
PFO-,Lineage 5,144,0.031
PFO-,Lineage 5,192,0.032
PFO-,Lineage 5,240,0.025
PFO-,Lineage 5,288,0.0246
PFO-,Lineage 5,336,0.025
PFO-,Lineage 5,0,100
PFO-,Lineage 5,48,0.946153846
PFO-,Lineage 5,96,0.923076923
PFO-,Lineage 5,144,0.043076923
PFO-,Lineage 5,192,0.038461538
PFO-,Lineage 5,240,0.016384615
PFO-,Lineage 5,288,0.006153846
PFO-,Lineage 5,336,0.002
PFO-,Lineage 5,0,100
PFO-,Lineage 5,48,3.6
PFO-,Lineage 5,96,0.06
PFO-,Lineage 5,144,0.0093
PFO-,Lineage 5,192,0.0004
PFO-,Lineage 5,240,0.00026
PFO-,Lineage 5,288,0.00033
PFO-,Lineage 5,336,0.0003
PFO-,Lineage 5,0,100
PFO-,Lineage 5,48,0.210526316
PFO-,Lineage 5,96,0.002280702
PFO-,Lineage 5,144,0.00022807
PFO-,Lineage 5,192,0.00022807
PFO-,Lineage 5,240,0.000175439
PFO-,Lineage 5,288,0.000175439
PFO-,Lineage 5,336,0.0000001
PFO-,Lineage 5,0,100
PFO-,Lineage 5,48,2.461538462
PFO-,Lineage 5,96,0.123076923
PFO-,Lineage 5,144,0.004076923
PFO-,Lineage 5,192,0.003846154
PFO-,Lineage 5,240,0.000769231
PFO-,Lineage 5,288,0.001538462
PFO-,Lineage 5,336,0.001
PFO+,Lineage 1,0,100
PFO+,Lineage 1,48,4
PFO+,Lineage 1,96,0.195
PFO+,Lineage 1,144,0.0018
PFO+,Lineage 1,192,0.0021
PFO+,Lineage 1,240,0.00065
PFO+,Lineage 1,288,0.00055
